,Variation,Completion Step1,P-value-Step1,Completion Step2,P-value-Step2,Completion Step3,P-value-Step3,Completion Confirm_Step
0,Control,41.25285114045618,0.12383529178229023,44.35526710684274,1.2580319167570001e-12,85.97103841536615,0.020510549190257,114.35489195678271
1,Test,36.315262227460224,0.12383529178229023,39.12280494991161,1.2580319167570001e-12,88.11897466116676,0.020510549190257,112.03759575721863
